N_sample	N_ANI	Min	Max
0	0	0	0
1	95.58	1	981
2	191.72	3	1232
3	293.16	9	1295
4	433.8	33	1463
5	558.66	104	1522
6	704.76	151	2146
7	826.16	231	2151
8	916.72	249	2153
9	1007.64	265	2272
10	1067.92	280	2352
11	1197.42	312	2971
12	1299.72	399	3193
13	1386.28	400	3293
14	1444.04	464	3332
15	1551.98	477	3738
16	1654.62	537	3905
17	1831.34	589	4011
18	1916.04	624	4100
19	2016.5	686	4480
20	2108.98	802	4969
21	2187.16	810	4983
22	2255.04	824	5013
23	2371.44	1105	5068
24	2467.52	1132	5143
25	2598.54	1146	5199
26	2709.84	1150	5230
27	2820.88	1190	5803
28	2949.34	1205	5841
29	3039.88	1260	6049
30	3136.62	1303	6136
31	3219.1	1350	6154
32	3315.8	1370	6264
33	3406.76	1399	7067
34	3501.48	1430	7068
35	3632.76	1942	7165
36	3744.02	2011	7186
37	3818.28	2014	7243
38	3932.64	2039	7310
39	3995.64	2040	7324
40	4060.28	2188	7374
41	4121.78	2263	7405
42	4208.82	2263	7439
43	4299.66	2337	7504
44	4369.62	2344	7527
45	4449.36	2590	7528
46	4521.96	2659	7571
47	4642.24	2694	7652
48	4712.3	2963	7673
49	4786.34	2968	7710
50	4851.24	2992	7772
51	4949.92	3076	7773
52	5108.96	3078	7774
53	5188.46	3094	7775
54	5287.72	3095	7837
55	5393.78	3097	7895
56	5483.68	3319	8193
57	5546.6	3384	8728
58	5642.12	3506	8730
59	5696.86	3563	8806
60	5785.26	3624	8931
61	5875.78	3633	8935
62	5995.82	3646	9100
63	6064.72	3678	9139
64	6133.9	3680	9450
65	6263.52	3760	9482
66	6335.16	3764	9493
67	6430.92	3784	9575
68	6543.42	4319	9624
69	6621.54	4328	9730
70	6710.36	4329	9735
71	6813.94	4587	9735
72	6893.6	4641	9794
73	6993.02	4681	9795
74	7049.3	4726	9828
75	7136	4742	11006
76	7224.9	4744	11042
77	7339.34	4926	11383
78	7458.8	4947	11384
79	7507.2	4998	11450
80	7615.02	5000	11519
81	7694.84	5008	11555
82	7744.38	5118	11658
83	7817.42	5141	11663
84	7887.28	5171	11665
85	7957.32	5190	11689
86	8051.7	5244	11697
87	8131.64	5252	11776
88	8201.44	5253	11777
89	8337.3	5308	11891
90	8408.08	5309	11894
91	8463.96	5315	11946
92	8554.72	5346	12024
93	8634.62	5383	12025
94	8704.14	5394	12036
95	8757.36	5574	12049
96	8816.98	5594	12052
97	8847.48	5601	12072
98	8911.7	5806	12084
99	8987.74	5809	12259
100	9070.68	5860	12335
101	9144.62	5928	12336
102	9217.68	6063	12338
103	9259.54	6114	12376
104	9292.3	6119	12399
105	9358.7	6134	12399
106	9446.44	6151	12400
107	9510.02	6298	12407
108	9564.18	6320	12534
109	9608.18	6620	12542
110	9736.16	6625	12550
111	9795.4	6664	12559
112	9882.26	6724	12561
113	9936.56	6761	12613
114	10016.76	6847	12664
115	10129.36	6885	12666
116	10178	6973	12668
117	10238.22	6976	12789
118	10320.74	6983	12791
119	10418.34	6995	12904
120	10499.92	7063	13374
121	10591.9	7128	13451
122	10679.96	7192	13747
123	10749.54	7193	13751
124	10815.1	7485	13881
125	10888.74	7660	13963
126	10949.26	7662	13974
127	11043.22	7720	14098
128	11099.96	7869	14164
129	11176.24	8062	14302
130	11249.2	8062	14948
131	11290.16	8066	14952
132	11368.62	8078	14954
133	11448.84	8085	15100
134	11524.72	8108	15110
135	11588.76	8172	15152
136	11664.14	8389	15166
137	11724.86	8591	15209
138	11770.96	8634	15266
139	11829.38	8750	15270
140	11891.84	8755	15342
141	11977.04	8762	15539
142	12058.76	8775	15555
143	12118.18	8805	15631
144	12177.1	8810	15744
145	12249.16	8843	15759
146	12309.98	8909	15761
147	12410.32	8972	15764
148	12450.24	9021	15777
149	12524.1	9172	15917
150	12582.82	9201	15964
151	12618.2	9204	15966
152	12678.72	9217	15982
153	12766.88	9256	16038
154	12887.8	9257	16040
155	12984.22	9273	16143
156	13050.62	9284	16163
157	13128.9	9340	16206
158	13187.68	9390	16208
159	13261.44	9512	16267
160	13346.06	9908	16475
161	13393.8	9920	16479
162	13457.7	9921	16857
163	13546.48	9932	16862
164	13585.02	9950	16905
165	13636.32	10027	16917
166	13713.7	10117	16943
167	13761.94	10134	16955
168	13863.26	10211	17158
169	13933.16	10212	17180
170	13979.3	10213	17212
171	14047.12	10222	17496
172	14088.74	10224	17521
173	14157.86	10227	17557
174	14227.34	10253	17807
175	14275.64	10254	17807
176	14319.88	10262	17815
177	14390.54	10343	17841
178	14488.16	10502	17884
179	14533.04	10511	17885
180	14646.4	10611	17891
181	14703.78	10637	18198
182	14766.58	10637	18382
183	14858.84	10666	18390
184	14918.02	10730	18403
185	14957.62	10732	18422
186	14999.2	10733	18423
187	15058.2	10793	18444
188	15110.08	10796	18467
189	15182.92	10901	18468
190	15237.22	10951	18480
191	15315.14	10954	18805
192	15408.58	10973	19199
193	15461.38	11110	19210
194	15548.52	11139	19217
195	15611.7	11151	19217
196	15672.2	11544	19227
197	15736.48	12184	19245
198	15849.56	12188	19373
199	15903.88	12191	19390
200	15982.7	12192	19668
201	16047.24	12201	19683
202	16152.78	12409	20027
203	16241.78	12457	20043
204	16302.4	12503	20149
205	16352.02	12516	20175
206	16405.76	12606	20218
207	16453.92	12740	20218
208	16511.5	12741	20238
209	16553.76	12749	20353
210	16660.62	12750	20373
211	16719.96	12759	20375
212	16778.54	12761	20868
213	16835.6	13085	20869
214	16896.12	13097	20939
215	16937.36	13278	20966
216	17007.98	13303	21332
217	17080.54	13303	21349
218	17142.3	13304	21357
219	17197.98	13304	21362
220	17274.46	13349	21592
221	17355.52	13365	21597
222	17467.7	13377	21597
223	17532.98	13417	21786
224	17582.18	13654	21806
225	17661.24	13682	21878
226	17708.96	13823	21897
227	17795.2	13824	21919
228	17865.58	13829	21921
229	17917.12	13854	22058
230	18028.88	13996	22087
231	18114.92	14120	22088
232	18229.46	14222	22571
233	18346.84	14238	22740
234	18385.62	14254	22742
235	18432.32	14665	22951
236	18479.02	14665	22952
237	18568.96	14908	22962
238	18627.06	14909	22964
239	18667.52	14934	22965
240	18748.94	14935	22981
241	18787.58	14935	23192
242	18835.04	14936	23218
243	18902.2	14937	23410
244	18978.66	15265	23419
245	19008.66	15267	23427
246	19053.22	15278	23428
247	19095.12	15289	23429
248	19172.36	15416	23443
249	19217.66	15682	23474
250	19258.66	15734	23548
251	19325.98	15734	23548
252	19383.16	15741	23611
253	19453.2	15743	24011
254	19517.48	15850	24023
255	19561.42	15898	24024
256	19619.78	15917	24150
257	19665.54	16063	24225
258	19696.42	16070	24225
259	19737.06	16071	24252
260	19837.46	16106	24270
261	19892.82	16142	24272
262	19942.94	16159	24279
263	20022.68	16160	24280
264	20101.18	16163	24296
265	20163.84	16165	24365
266	20195.38	16190	24427
267	20250.1	16191	24486
268	20294.6	16212	24504
269	20333.66	16372	24508
270	20400.38	16377	24593
271	20432.42	16379	24597
272	20470.4	16388	24609
273	20546.04	16392	24614
274	20629.9	16392	26212
275	20661.52	16392	26241
276	20719.88	16466	26246
277	20752.3	16490	26284
278	20791.22	16500	26286
279	20844.36	16531	26298
280	20969.02	16555	26361
281	21019.66	16574	26564
282	21081.68	16577	26580
283	21146.66	16581	26598
284	21222.64	16831	26626
285	21279.94	16832	26677
286	21329.96	16862	26731
287	21376	16869	26807
288	21424.68	16963	27088
289	21479.82	17013	27088
290	21533.4	17013	27634
291	21560.64	17017	27770
292	21600.2	17017	27797
293	21643.56	17066	27821
294	21691.22	17074	27827
295	21772.2	17132	27873
296	21835.3	17238	27875
297	21868.34	17240	27875
298	21917.86	17240	27888
299	21973.58	17331	27896
300	22015.34	17337	27925
301	22085.38	17386	28014
302	22130.92	17423	28032
303	22167.54	17507	28032
304	22218.92	17524	28091
305	22270.92	17528	28213
306	22316.48	17580	28231
307	22367.72	17581	28378
308	22442.28	17581	28465
309	22476	17582	28488
310	22523.24	17634	28561
311	22595.06	17676	28604
312	22661.1	17677	28604
313	22721.88	17758	28611
314	22761.02	17759	28611
315	22822.1	17777	28618
316	22887.8	17783	28655
317	22954.74	17882	28655
318	23039.26	17896	28656
319	23108.72	17925	28687
320	23174.62	17992	28841
321	23249.18	18011	29243
322	23305.24	18014	29279
323	23379.58	18020	29306
324	23416.98	18020	29312
325	23493.1	18020	29325
326	23541.44	18020	29333
327	23590.28	18058	29334
328	23647.96	18075	29338
329	23701.3	18112	29340
330	23752.02	18125	29340
331	23804.12	18144	29355
332	23907	18147	29397
333	23949.44	18181	29398
334	24037.64	19276	29401
335	24086.7	19281	29429
336	24163.44	19314	29433
337	24183.58	19426	29433
338	24215.9	19431	29459
339	24267.66	19476	29485
340	24306.18	19478	29485
341	24343.96	19488	29486
342	24411.72	19508	29486
343	24481.52	19582	29487
344	24535.74	19582	29497
345	24590.28	19583	29570
346	24649.56	20242	29574
347	24676.36	20267	29575
348	24724.78	20619	29652
349	24767.7	20621	29657
350	24859.08	20693	29751
351	24909.26	20696	29755
352	24989.32	20772	29831
353	25060.46	20885	29867
354	25094.82	20885	29870
355	25160.58	20954	29924
356	25218.9	20955	29935
357	25294.76	21183	29937
358	25348.5	21185	29937
359	25399.44	21215	29982
360	25480.12	21220	29982
361	25562.58	21250	30024
362	25605.98	21251	30202
363	25714	21378	30246
364	25747.64	21422	30259
365	25802.86	21457	30297
366	25902.34	21509	31839
367	25950.54	21509	31840
368	26040.46	21626	32043
369	26092.92	21646	32071
370	26150.6	21647	32072
371	26188.62	21801	32073
372	26258.14	21801	32075
373	26305.74	21815	32078
374	26361.24	21850	32080
375	26402.8	21856	32116
376	26442.08	21857	32116
377	26472.82	21868	32133
378	26526.14	21922	32146
379	26634.74	21925	32149
380	26676.46	21978	32400
381	26729.06	21987	32680
382	26769.22	22010	32693
383	26809.06	22012	32707
384	26839.38	22042	32713
385	26883.42	22579	32727
386	26919.34	22583	32735
387	26969.12	22586	32736
388	27014.7	22791	32752
389	27056.22	22792	32774
390	27096.92	22794	32774
391	27142.28	22817	32780
392	27189.96	22931	32782
393	27265.68	22962	32787
